Number,First,Len,Rotate,GNU,Rot13,FAQ6,Ly,Rs,Sum
319,0,0,22,0,3,15,25,21,59
320,0,0,21,0,9,23,24,14,67
321,0,0,26,0,5,16,19,15,64
322,0,0,27,0,8,22,21,21,64
323,0,0,21,0,5,23,21,23,52
324,0,0,25,0,2,25,19,20,66
325,0,0,28,0,1,19,24,26,69
326,0,0,22,0,6,24,15,17,63
327,0,0,26,0,6,26,16,11,56
328,0,0,22,0,6,24,26,30,64
329,0,0,19,0,4,16,19,17,64
330,0,0,23,0,4,25,17,17,69
331,0,0,20,0,6,18,12,27,54
332,0,0,27,0,4,16,30,28,59
333,0,0,17,0,2,18,18,19,52
334,0,0,16,0,9,20,16,14,36
335,0,0,26,0,9,26,25,20,52
336,0,0,18,0,8,27,18,21,42
337,0,0,24,36776,7,20,18,17,40
338,0,0,19,0,5,28,22,20,38
339,0,0,22,0,2,20,30,22,31
340,0,0,18,0,5,25,13,19,21
341,0,0,30,0,9,23,21,15,28
342,0,0,23,0,8,19,19,20,25
343,0,0,19,0,6,27,33,16,19
344,0,0,16,0,4,22,16,23,21
345,0,0,17,0,5,23,19,23,19
346,0,0,18,0,6,24,24,30,20
347,0,0,27,0,7,25,22,12,12
348,0,0,15,0,7,20,22,17,13
349,0,0,28,0,2,18,24,19,9
350,0,0,19,0,10,23,23,11,8
351,0,0,15,0,5,21,17,19,7
352,0,0,23,0,7,18,20,26,5
353,0,0,16,0,6,31,22,16,6
354,0,0,19,0,9,15,25,21,4
355,0,0,17,0,8,29,19,20,1
356,0,0,20,0,11,20,23,22,0
357,0,0,15,0,5,20,27,22,0
358,0,0,23,0,8,22,22,19,1
359,0,0,24,0,4,17,21,23,0
360,0,0,19,0,6,12,22,23,1
361,0,0,19,0,6,18,24,25,0
362,0,0,22,0,12,14,18,11,0
363,0,0,25,0,6,17,17,17,1
364,0,0,24,0,13,16,21,23,0
365,0,0,27,0,7,17,21,22,0
366,0,0,14,0,4,16,16,20,0
367,0,0,20,0,5,14,19,28,0
368,0,0,15,0,6,18,17,27,0
369,0,0,30,0,8,24,21,22,0
370,0,0,23,0,6,22,23,26,0
371,0,0,13,0,8,23,23,19,0
372,0,0,19,0,5,24,32,26,0
373,0,0,13,0,10,22,24,22,0
374,0,0,21,0,5,20,18,22,0
375,0,0,14,0,2,19,15,20,0
376,0,0,20,0,5,23,17,23,0
377,0,0,21,0,1,20,18,25,0
378,0,0,25,0,2,26,20,18,0
379,0,0,20,0,4,16,26,21,0
380,0,0,16,0,2,19,25,27,0
381,0,0,16,0,3,14,15,17,0
382,0,0,20,0,0,31,23,17,0
383,0,0,22,0,2,10,24,22,0
384,0,0,22,0,1,15,21,26,0
385,0,0,24,0,1,16,20,16,0
386,0,0,22,0,2,18,22,16,0
387,0,0,13,0,0,18,21,16,0
388,0,0,23,0,2,18,20,20,0
389,0,0,20,0,1,24,21,20,0
390,0,0,21,0,1,21,17,23,2
391,0,0,21,0,1,15,23,11,2
392,0,0,18,0,2,27,28,14,2
393,0,0,27,0,1,20,31,22,2
394,0,0,27,0,0,14,28,17,6
395,0,0,17,0,1,15,25,21,2
396,0,0,25,0,1,26,18,15,9
397,0,0,15,0,0,16,15,16,6
398,0,0,30,0,3,17,18,24,12
399,0,0,17,0,0,16,26,17,10
400,0,0,22,0,0,31,18,16,20
401,0,0,24,0,2,22,22,26,20
402,0,0,21,0,2,23,20,25,16
403,0,0,29,0,1,23,24,25,29
404,0,0,23,0,2,20,32,27,31
405,0,0,22,0,2,19,31,23,39
406,0,0,20,0,4,23,22,14,33
407,0,0,24,0,3,22,21,21,49
408,0,0,26,0,2,20,28,24,48
409,0,0,13,0,2,22,20,23,62
410,0,0,8,0,1,25,18,29,67
411,0,0,22,0,1,22,12,24,89
412,0,0,19,0,2,21,23,25,86
413,0,0,22,0,1,17,20,24,81
414,0,0,19,0,5,24,26,18,114
415,0,0,23,0,3,20,16,17,111
416,0,0,15,0,2,28,26,18,130
417,0,0,21,0,2,24,23,22,127
418,0,0,18,0,3,25,24,23,131
419,0,0,19,0,4,27,16,19,138
420,0,0,22,0,4,13,30,20,173
421,0,0,21,0,3,21,18,23,158
422,0,0,21,0,3,10,21,15,176
423,0,0,22,0,3,16,31,22,162
424,0,0,18,0,2,19,20,17,218
425,0,0,14,0,7,24,19,10,187
426,0,0,20,0,3,14,27,19,209
427,0,0,17,0,4,15,26,30,189
428,0,0,15,0,3,21,16,31,213
429,0,0,17,0,3,15,19,20,188
430,0,0,20,0,7,20,16,14,207
431,0,0,18,0,4,18,21,18,216
432,0,0,20,0,1,18,18,19,186
433,0,0,19,0,3,23,27,15,207
434,0,0,22,0,1,16,13,22,194
435,0,0,20,0,2,18,22,12,199
436,0,0,24,0,5,18,19,19,198
437,0,0,19,0,5,25,16,28,174
438,0,0,9,0,4,24,25,19,171
439,0,0,19,0,5,19,24,11,145
440,0,0,25,0,3,11,22,22,174
441,0,0,18,0,4,31,18,23,146
442,0,0,27,0,3,26,26,15,144
443,0,0,24,0,4,24,18,18,135
444,0,0,26,0,4,21,13,24,135
445,0,0,13,0,8,18,18,13,138
446,0,0,13,0,4,19,27,20,132
447,0,0,15,0,3,21,22,14,114
448,0,0,18,0,7,18,31,23,94
449,0,0,16,0,7,31,15,15,81
450,0,0,20,0,5,20,19,25,87
451,0,0,20,0,6,24,20,18,72
452,0,0,22,0,10,25,21,25,74
453,0,0,23,0,11,19,17,16,57
454,0,0,18,0,12,17,29,20,50
455,0,0,20,0,6,16,20,19,42
456,0,0,27,0,7,19,23,19,37
457,0,0,19,0,5,21,16,12,37
458,0,0,20,0,12,22,23,29,37
459,0,0,16,0,11,26,17,31,31
460,0,0,29,0,6,26,25,25,26
461,0,0,24,0,8,20,12,23,22
462,0,0,16,0,14,14,19,14,16
463,0,0,14,0,6,31,16,22,13
464,0,0,16,0,9,21,16,18,15
465,0,0,28,0,10,20,25,21,8
466,0,0,26,0,3,10,19,16,6
467,0,0,25,0,8,23,21,25,6
468,0,0,30,0,5,13,25,19,2
469,0,0,14,0,9,20,18,26,0
470,0,0,14,0,6,20,14,27,5
471,0,0,24,0,12,18,13,13,2
472,0,0,16,0,8,15,24,20,2
473,0,0,18,0,9,18,17,24,0
474,0,0,13,0,7,23,26,22,0
475,0,0,18,0,6,22,27,21,2
476,0,0,18,0,6,19,23,20,0
477,0,0,21,0,11,26,18,17,0
478,0,0,14,0,6,23,18,23,0
479,0,0,15,0,6,19,16,23,0
480,0,0,26,0,12,19,16,20,0
481,0,0,26,0,7,19,23,23,0
482,0,0,19,0,5,14,23,18,0
483,0,0,20,0,5,17,24,23,0
484,0,0,22,0,5,17,17,19,0
485,0,0,14,0,4,20,23,21,0
486,0,0,27,0,5,18,14,21,0
487,0,0,19,0,4,12,30,20,0
488,0,0,24,0,5,21,16,24,3
489,0,0,27,0,4,22,20,13,1
490,0,0,19,0,9,19,20,23,2
491,0,0,21,0,2,20,22,26,1
492,0,0,19,0,3,23,18,12,0
493,0,0,20,0,2,27,21,27,2
494,0,0,26,0,2,30,22,24,3
495,0,0,16,0,4,27,33,25,3
496,0,0,21,0,3,18,22,26,6
497,0,0,20,0,2,21,22,16,8
498,0,0,18,0,0,20,16,21,10
499,0,0,20,0,4,25,23,12,14
500,0,0,20,0,2,30,27,18,14
501,0,0,18,0,1,24,23,16,10
502,0,0,21,0,1,9,20,18,16
503,0,0,25,0,2,17,20,16,29
504,0,0,25,0,1,23,14,21,29
505,0,0,21,0,1,32,17,21,33
506,0,0,23,0,1,18,21,23,29
507,0,0,24,0,3,20,24,25,44
508,0,0,19,0,0,21,25,26,54
509,0,0,18,0,1,21,17,27,68
510,0,0,20,0,2,17,16,17,85
511,0,0,20,0,0,15,17,20,84
512,0,0,31,0,1,13,16,23,81
513,0,0,29,0,1,24,19,23,111
514,0,0,23,0,1,15,18,22,112
515,0,0,29,0,0,28,22,19,141
516,0,0,17,0,1,25,23,17,146
517,0,0,17,0,4,11,28,18,158
518,0,0,25,0,0,22,21,22,175
519,0,0,14,0,0,16,16,23,176
520,0,0,20,0,0,23,16,17,204
521,0,0,21,0,1,14,21,28,220
522,0,0,25,0,3,27,21,17,210
523,0,0,27,0,4,27,22,26,244
524,0,0,16,0,4,28,15,16,272
525,0,0,19,0,1,21,13,25,276
526,0,0,27,0,0,28,24,21,290
527,0,0,24,0,0,19,26,26,337
528,0,0,11,0,4,20,19,16,325
529,0,0,18,0,1,24,14,23,347
530,0,0,30,0,2,27,20,19,329
531,0,0,15,0,1,27,23,22,341
532,0,0,21,0,0,28,22,15,364
533,0,0,18,0,0,19,24,14,417
534,0,0,24,0,1,21,19,16,365
535,0,0,25,0,0,16,13,16,410
536,0,0,19,0,4,23,14,26,385
537,0,0,21,0,2,16,21,17,428
538,0,0,22,0,1,19,23,12,400
539,0,0,24,0,0,15,16,14,421
540,0,0,21,0,2,21,17,30,387
541,0,0,22,0,0,18,22,16,425
542,0,0,16,0,1,20,28,12,401
543,0,0,13,0,2,20,14,27,409
544,0,0,28,0,3,27,17,19,403
545,0,0,14,0,2,26,17,22,367
546,0,0,23,0,6,21,21,22,369
547,0,0,24,0,3,20,22,20,374
548,0,0,15,0,4,28,22,28,315
549,0,0,21,0,5,19,21,23,318
550,0,0,16,0,5,14,15,14,286
551,0,0,20,0,3,21,22,17,277
552,0,0,18,0,5,22,14,13,309
553,0,0,20,0,5,25,26,16,262
554,0,0,20,0,7,17,22,23,256
555,0,0,17,0,5,27,15,17,259
556,0,0,24,0,5,22,20,21,220
557,0,0,16,0,7,25,21,17,221
558,0,0,20,0,12,16,26,17,198
559,0,0,22,0,11,30,20,20,184
560,0,0,22,0,13,20,28,26,146
561,0,0,22,0,9,20,17,26,164
562,0,0,16,0,15,22,27,14,143
563,0,0,24,0,13,13,24,14,131
564,0,0,16,0,10,23,24,24,106
565,0,0,16,0,20,23,18,21,103
566,0,0,18,0,11,18,16,23,87
567,0,0,17,0,15,21,24,19,81
568,0,0,23,0,19,15,20,19,67
569,0,0,17,0,8,26,16,15,76
570,0,0,23,0,8,29,22,19,44
571,0,0,23,0,17,20,29,24,43
572,0,0,11,0,8,26,20,19,49
573,0,0,19,0,18,24,18,21,38
574,0,0,15,0,16,13,16,16,29
575,0,0,20,0,21,23,16,21,21
576,0,0,18,0,7,17,25,25,24
577,0,0,20,0,13,28,21,14,24
578,0,0,18,0,21,17,20,22,17
579,0,0,15,0,12,20,20,20,13
580,0,0,21,0,14,18,18,26,7
581,0,0,13,0,18,26,20,22,6
582,0,0,20,0,8,13,24,21,6
583,0,0,20,0,9,17,23,20,5
584,0,0,26,0,11,17,20,16,4
585,0,0,19,0,6,23,24,17,0
586,0,0,19,0,10,21,30,19,5
587,0,0,21,0,8,19,20,24,2
588,0,0,16,0,9,27,20,28,2
589,0,0,14,0,9,21,18,20,0
590,0,0,17,0,9,15,16,21,0
591,0,0,10,0,11,22,17,14,2
592,0,0,15,0,8,18,20,24,4
593,0,0,21,0,7,21,22,28,2
